city,count,latitude,longitude
Kadugli,8,11.016796000000001,29.716448
Bab,8,36.366199,37.512276
Than To district,8,6.051113,101.306884
Shihr,8,14.762732000000002,49.605728000000006
Rahim Yar Khan,8,28.416328000000004,70.29975
Nembe,8,4.532813,6.403743
Shah Wali Kot district,8,32.074093,66.141526
Abuja,8,9.066042999999999,7.4814300000000005
Giridih district,8,24.181835999999997,86.30685
Nertiti,8,12.959799,24.039829
Alishing district,8,34.782778,70.109167
Habbaniyah,8,33.374808,43.562134
Bolan,8,31.589827000000003,64.337952
Albu Faraj,8,33.449771999999996,43.29578
Mahfad district,8,14.062312,46.918715999999996
Lice district,8,38.457209999999996,40.647462
Gereida,8,11.270499000000001,25.151484
Baalbek,8,34.034915999999996,36.227844
Feroz Koh,8,34.521316999999996,65.249245
Sayyidah Zaynab,8,33.446476000000004,36.334499
Arghandab district,8,32.559055,67.037879
Nuttal,8,28.750093,68.07604599999999
Pristina,8,42.659349,21.161005
Tee,8,6.9842509999999995,124.452176
Tro Bon,8,6.682392999999999,101.541857
Khazana,8,34.075466,71.599998
Darqad district,8,37.382557,69.451639
Swabi,8,34.123104,72.46901700000001
Nasirnagar,8,24.19575,91.195314
Hermel,8,34.397052,36.387171
Spin Boldak district,8,30.99365,66.397049
Faizabad,8,37.10783,70.56755799999999
Dargecit district,8,37.547104,41.718382
Santo Nino,8,7.704608,125.98829199999999
Musa Qala district,8,32.271489,64.80689699999999
Ghormach district,8,35.75745,63.801706
Beni Suef,8,29.076732,31.099753000000003
Nari district,8,35.225369,71.528625
Makhmur district,8,35.766729999999995,43.585789
Thepha district,8,6.7906889999999995,100.918146
Al-Kharouba,8,31.163713,33.955925
Salamiyah,8,35.012791,37.051505999999996
Bentiu,8,9.259689,29.800147999999997
Kot district,8,34.155556,70.598611
Kampala,8,0.313678,32.580645000000004
Amran,8,15.663054999999998,43.94577
Sabon Gari,7,10.590653999999999,12.207258
Nesh district,7,32.426667,65.636944
Pasaband district,7,33.534234999999995,65.000854
Lat,7,23.710086999999998,84.132248
Torkham,7,34.128723,71.085815
Qaim,7,34.378387,41.035515000000004
Carmen,7,7.199509,124.796982
Qadis district,7,34.855084999999995,63.486204
Amer Sher Ali,7,35.760462,68.918177
Khwaja Baha Wuddin district,7,37.346664000000004,69.533888
Balad Ruz district,7,33.698271999999996,45.083895
Koshki Kohna district,7,34.804066,62.622324
Garmsir district,7,30.911544,64.150589
Fortul district,7,6.794034,-71.76864499999999
Fotokol,7,12.379026,14.224362
Adraskan district,7,33.645556,62.26944399999999
Jacobabad,7,28.281989000000003,68.437904
Imam Gharbi,7,35.600617,42.88443
Lam Mai,7,6.574714999999999,101.201382
Nikishyne,7,48.240883000000004,38.525669
Jazan,7,16.893194,42.57526
Prague,7,50.065647,14.424322
Kondagaon district,7,19.60001,81.67
Khaki Safed district,7,32.677261,61.981559
Gwoza,7,11.083983,13.693092000000002
Anantnag district,7,33.731014,75.148566
Cho-airong district,7,6.210408,101.820757
Quezon City,7,14.67428,121.05749499999999
Gurziwan district,7,35.631667,65.27972199999999
Damaturu,7,11.744639999999999,11.970257
Albu Sayf,7,36.273106,43.159374
Petah Tikva,7,32.089161,34.88382
Tessalit,7,20.252066,0.981526
Midsayap,7,7.191667,124.53333300000001
Kiryat Gat,7,31.605567999999998,34.771770000000004
Pattan,7,34.161541,74.553093
Swabi district,7,34.116813,72.466724
Sabratah,7,32.791561,12.489025999999999
Angoor Ada,7,32.305118,69.551734
Bamako,7,12.650673,-7.997738000000001
Kinshasa,7,-4.389166,15.337620000000001
Loralai,7,30.370974,68.599319
Multan,7,30.192534999999996,71.39981999999999
Kharan district,7,28.002038,65.285708
Chang Phueak,7,6.048818,101.567686
Ceel Buur,7,4.6848849999999995,46.622807
Dinanagar,7,32.126683,75.46345600000001
Parom,7,26.633584000000003,63.338058
Nukhayb,7,32.04298,42.254261
Saberi district,7,33.561423,69.934051
Nonthaburi,7,13.866642,100.496338
Marea,7,36.482582,37.197102
Jakarta,7,-6.210380000000001,106.845386
Shinkay district,7,31.972644,67.375665
Subayhat,7,33.365790999999994,43.95932
